,nome_pokemon,num_pokedex,tipos,HP,atk,Def,sp_atk,sp_def,Speed,total
0,Bulbasaur,#0001,"Grass, Poison",45,49,49,65,65,45,318
1,Ivysaur,#0002,"Grass, Poison",60,62,63,80,80,60,405
2,Venusaur,#0003,"Grass, Poison",80,82,83,100,100,80,525
3,Charmander,#0004,Fire,39,52,43,60,50,65,309
4,Charmeleon,#0005,Fire,58,64,58,80,65,80,405
5,Charizard,#0006,"Fire, Flying",78,84,78,109,85,100,534
6,Squirtle,#0007,Water,44,48,65,50,64,43,314
7,Wartortle,#0008,Water,59,63,80,65,80,58,405
8,Blastoise,#0009,Water,79,83,100,85,105,78,530
9,Caterpie,#0010,Bug,45,30,35,20,20,45,195
10,Metapod,#0011,Bug,50,20,55,25,25,30,205
11,Butterfree,#0012,"Bug, Flying",60,45,50,90,80,70,395
12,Weedle,#0013,"Bug, Poison",40,35,30,20,20,50,195
13,Kakuna,#0014,"Bug, Poison",45,25,50,25,25,35,205
14,Beedrill,#0015,"Bug, Poison",65,90,40,45,80,75,395
15,Pidgey,#0016,"Normal, Flying",40,45,40,35,35,56,251
16,Pidgeotto,#0017,"Normal, Flying",63,60,55,50,50,71,349
17,Pidgeot,#0018,"Normal, Flying",83,80,75,70,70,101,479
18,Rattata,#0019,Normal,30,56,35,25,35,72,253
19,Raticate,#0020,Normal,55,81,60,50,70,97,413
20,Spearow,#0021,"Normal, Flying",40,60,30,31,31,70,262
21,Fearow,#0022,"Normal, Flying",65,90,65,61,61,100,442
22,Ekans,#0023,Poison,35,60,44,40,54,55,288
23,Arbok,#0024,Poison,60,95,69,65,79,80,448
24,Pikachu,#0025,Electric,35,55,40,50,50,90,320
25,Raichu,#0026,Electric,60,90,55,90,80,110,485
26,Sandshrew,#0027,Ground,50,75,85,20,30,40,300
27,Sandslash,#0028,Ground,75,100,110,45,55,65,450
28,Nidoran♀,#0029,Poison,55,47,52,40,40,41,275
29,Nidorina,#0030,Poison,70,62,67,55,55,56,365
30,Nidoqueen,#0031,"Poison, Ground",90,92,87,75,85,76,505
31,Nidoran♂,#0032,Poison,46,57,40,40,40,50,273
32,Nidorino,#0033,Poison,61,72,57,55,55,65,365
33,Nidoking,#0034,"Poison, Ground",81,102,77,85,75,85,505
34,Clefairy,#0035,Fairy,70,45,48,60,65,35,323
35,Clefable,#0036,Fairy,95,70,73,95,90,60,483
36,Vulpix,#0037,Fire,38,41,40,50,65,65,299
37,Ninetales,#0038,Fire,73,76,75,81,100,100,505
38,Jigglypuff,#0039,"Normal, Fairy",115,45,20,45,25,20,270
39,Wigglytuff,#0040,"Normal, Fairy",140,70,45,85,50,45,435
40,Zubat,#0041,"Poison, Flying",40,45,35,30,40,55,245
41,Golbat,#0042,"Poison, Flying",75,80,70,65,75,90,455
42,Oddish,#0043,"Grass, Poison",45,50,55,75,65,30,320
43,Gloom,#0044,"Grass, Poison",60,65,70,85,75,40,395
44,Vileplume,#0045,"Grass, Poison",75,80,85,110,90,50,490
45,Paras,#0046,"Bug, Grass",35,70,55,45,55,25,285
46,Parasect,#0047,"Bug, Grass",60,95,80,60,80,30,405
47,Venonat,#0048,"Bug, Poison",60,55,50,40,55,45,305
48,Venomoth,#0049,"Bug, Poison",70,65,60,90,75,90,450
49,Diglett,#0050,Ground,10,55,25,35,45,95,265
50,Dugtrio,#0051,Ground,35,100,50,50,70,120,425
51,Meowth,#0052,Normal,40,45,35,40,40,90,290
52,Persian,#0053,Normal,65,70,60,65,65,115,440
53,Psyduck,#0054,Water,50,52,48,65,50,55,320
54,Golduck,#0055,Water,80,82,78,95,80,85,500
55,Mankey,#0056,Fighting,40,80,35,35,45,70,305
56,Primeape,#0057,Fighting,65,105,60,60,70,95,455
57,Growlithe,#0058,Fire,55,70,45,70,50,60,350
58,Arcanine,#0059,Fire,90,110,80,100,80,95,555
59,Poliwag,#0060,Water,40,50,40,40,40,90,300
60,Poliwhirl,#0061,Water,65,65,65,50,50,90,385
61,Poliwrath,#0062,"Water, Fighting",90,95,95,70,90,70,510
62,Abra,#0063,Psychic,25,20,15,105,55,90,310
63,Kadabra,#0064,Psychic,40,35,30,120,70,105,400
64,Alakazam,#0065,Psychic,55,50,45,135,95,120,500
65,Machop,#0066,Fighting,70,80,50,35,35,35,305
66,Machoke,#0067,Fighting,80,100,70,50,60,45,405
67,Machamp,#0068,Fighting,90,130,80,65,85,55,505
68,Bellsprout,#0069,"Grass, Poison",50,75,35,70,30,40,300
69,Weepinbell,#0070,"Grass, Poison",65,90,50,85,45,55,390
70,Victreebel,#0071,"Grass, Poison",80,105,65,100,70,70,490
71,Tentacool,#0072,"Water, Poison",40,40,35,50,100,70,335
72,Tentacruel,#0073,"Water, Poison",80,70,65,80,120,100,515
73,Geodude,#0074,"Rock, Ground",40,80,100,30,30,20,300
74,Graveler,#0075,"Rock, Ground",55,95,115,45,45,35,390
75,Golem,#0076,"Rock, Ground",80,120,130,55,65,45,495
76,Ponyta,#0077,Fire,50,85,55,65,65,90,410
77,Rapidash,#0078,Fire,65,100,70,80,80,105,500
78,Slowpoke,#0079,"Water, Psychic",90,65,65,40,40,15,315
79,Slowbro,#0080,"Water, Psychic",95,75,110,100,80,30,490
80,Magnemite,#0081,"Electric, Steel",25,35,70,95,55,45,325
81,Magneton,#0082,"Electric, Steel",50,60,95,120,70,70,465
82,Farfetch'd,#0083,"Normal, Flying",52,90,55,58,62,60,377
83,Doduo,#0084,"Normal, Flying",35,85,45,35,35,75,310
84,Dodrio,#0085,"Normal, Flying",60,110,70,60,60,110,470
85,Seel,#0086,Water,65,45,55,45,70,45,325
86,Dewgong,#0087,"Water, Ice",90,70,80,70,95,70,475
87,Grimer,#0088,Poison,80,80,50,40,50,25,325
88,Muk,#0089,Poison,105,105,75,65,100,50,500
89,Shellder,#0090,Water,30,65,100,45,25,40,305
90,Cloyster,#0091,"Water, Ice",50,95,180,85,45,70,525
91,Gastly,#0092,"Ghost, Poison",30,35,30,100,35,80,310
92,Haunter,#0093,"Ghost, Poison",45,50,45,115,55,95,405
93,Gengar,#0094,"Ghost, Poison",60,65,60,130,75,110,500
94,Onix,#0095,"Rock, Ground",35,45,160,30,45,70,385
95,Drowzee,#0096,Psychic,60,48,45,43,90,42,328
96,Hypno,#0097,Psychic,85,73,70,73,115,67,483
97,Krabby,#0098,Water,30,105,90,25,25,50,325
98,Kingler,#0099,Water,55,130,115,50,50,75,475
99,Voltorb,#0100,Electric,40,30,50,55,55,100,330
100,Electrode,#0101,Electric,60,50,70,80,80,150,490
101,Exeggcute,#0102,"Grass, Psychic",60,40,80,60,45,40,325
102,Exeggutor,#0103,"Grass, Psychic",95,95,85,125,75,55,530
103,Cubone,#0104,Ground,50,50,95,40,50,35,320
104,Marowak,#0105,Ground,60,80,110,50,80,45,425
105,Hitmonlee,#0106,Fighting,50,120,53,35,110,87,455
106,Hitmonchan,#0107,Fighting,50,105,79,35,110,76,455
107,Lickitung,#0108,Normal,90,55,75,60,75,30,385
108,Koffing,#0109,Poison,40,65,95,60,45,35,340
109,Weezing,#0110,Poison,65,90,120,85,70,60,490
110,Rhyhorn,#0111,"Ground, Rock",80,85,95,30,30,25,345
111,Rhydon,#0112,"Ground, Rock",105,130,120,45,45,40,485
112,Chansey,#0113,Normal,250,5,5,35,105,50,450
113,Tangela,#0114,Grass,65,55,115,100,40,60,435
114,Kangaskhan,#0115,Normal,105,95,80,40,80,90,490
115,Horsea,#0116,Water,30,40,70,70,25,60,295
116,Seadra,#0117,Water,55,65,95,95,45,85,440
117,Goldeen,#0118,Water,45,67,60,35,50,63,320
118,Seaking,#0119,Water,80,92,65,65,80,68,450
119,Staryu,#0120,Water,30,45,55,70,55,85,340
120,Starmie,#0121,"Water, Psychic",60,75,85,100,85,115,520
121,Mr. Mime,#0122,"Psychic, Fairy",40,45,65,100,120,90,460
122,Scyther,#0123,"Bug, Flying",70,110,80,55,80,105,500
123,Jynx,#0124,"Ice, Psychic",65,50,35,115,95,95,455
124,Electabuzz,#0125,Electric,65,83,57,95,85,105,490
125,Magmar,#0126,Fire,65,95,57,100,85,93,495
126,Pinsir,#0127,Bug,65,125,100,55,70,85,500
127,Tauros,#0128,Normal,75,100,95,40,70,110,490
128,Magikarp,#0129,Water,20,10,55,15,20,80,200
129,Gyarados,#0130,"Water, Flying",95,125,79,60,100,81,540
130,Lapras,#0131,"Water, Ice",130,85,80,85,95,60,535
131,Ditto,#0132,Normal,48,48,48,48,48,48,288
132,Eevee,#0133,Normal,55,55,50,45,65,55,325
133,Vaporeon,#0134,Water,130,65,60,110,95,65,525
134,Jolteon,#0135,Electric,65,65,60,110,95,130,525
135,Flareon,#0136,Fire,65,130,60,95,110,65,525
136,Porygon,#0137,Normal,65,60,70,85,75,40,395
137,Omanyte,#0138,"Rock, Water",35,40,100,90,55,35,355
138,Omastar,#0139,"Rock, Water",70,60,125,115,70,55,495
139,Kabuto,#0140,"Rock, Water",30,80,90,55,45,55,355
140,Kabutops,#0141,"Rock, Water",60,115,105,65,70,80,495
141,Aerodactyl,#0142,"Rock, Flying",80,105,65,60,75,130,515
142,Snorlax,#0143,Normal,160,110,65,65,110,30,540
143,Articuno,#0144,"Ice, Flying",90,85,100,95,125,85,580
144,Zapdos,#0145,"Electric, Flying",90,90,85,125,90,100,580
145,Moltres,#0146,"Fire, Flying",90,100,90,125,85,90,580
146,Dratini,#0147,Dragon,41,64,45,50,50,50,300
147,Dragonair,#0148,Dragon,61,84,65,70,70,70,420
148,Dragonite,#0149,"Dragon, Flying",91,134,95,100,100,80,600
149,Mewtwo,#0150,Psychic,106,110,90,154,90,130,680
150,Mew,#0151,Psychic,100,100,100,100,100,100,600
151,Chikorita,#0152,Grass,45,49,65,49,65,45,318
152,Bayleef,#0153,Grass,60,62,80,63,80,60,405
153,Meganium,#0154,Grass,80,82,100,83,100,80,525
154,Cyndaquil,#0155,Fire,39,52,43,60,50,65,309
155,Quilava,#0156,Fire,58,64,58,80,65,80,405
156,Typhlosion,#0157,Fire,78,84,78,109,85,100,534
157,Totodile,#0158,Water,50,65,64,44,48,43,314
158,Croconaw,#0159,Water,65,80,80,59,63,58,405
159,Feraligatr,#0160,Water,85,105,100,79,83,78,530
160,Sentret,#0161,Normal,35,46,34,35,45,20,215
161,Furret,#0162,Normal,85,76,64,45,55,90,415
162,Hoothoot,#0163,"Normal, Flying",60,30,30,36,56,50,262
163,Noctowl,#0164,"Normal, Flying",100,50,50,86,96,70,452
164,Ledyba,#0165,"Bug, Flying",40,20,30,40,80,55,265
165,Ledian,#0166,"Bug, Flying",55,35,50,55,110,85,390
166,Spinarak,#0167,"Bug, Poison",40,60,40,40,40,30,250
167,Ariados,#0168,"Bug, Poison",70,90,70,60,70,40,400
168,Crobat,#0169,"Poison, Flying",85,90,80,70,80,130,535
169,Chinchou,#0170,"Water, Electric",75,38,38,56,56,67,330
170,Lanturn,#0171,"Water, Electric",125,58,58,76,76,67,460
171,Pichu,#0172,Electric,20,40,15,35,35,60,205
172,Cleffa,#0173,Fairy,50,25,28,45,55,15,218
173,Igglybuff,#0174,"Normal, Fairy",90,30,15,40,20,15,210
174,Togepi,#0175,Fairy,35,20,65,40,65,20,245
175,Togetic,#0176,"Fairy, Flying",55,40,85,80,105,40,405
176,Natu,#0177,"Psychic, Flying",40,50,45,70,45,70,320
177,Xatu,#0178,"Psychic, Flying",65,75,70,95,70,95,470
178,Mareep,#0179,Electric,55,40,40,65,45,35,280
179,Flaaffy,#0180,Electric,70,55,55,80,60,45,365
180,Ampharos,#0181,Electric,90,75,85,115,90,55,510
181,Bellossom,#0182,Grass,75,80,95,90,100,50,490
182,Marill,#0183,"Water, Fairy",70,20,50,20,50,40,250
183,Azumarill,#0184,"Water, Fairy",100,50,80,60,80,50,420
184,Sudowoodo,#0185,Rock,70,100,115,30,65,30,410
185,Politoed,#0186,Water,90,75,75,90,100,70,500
186,Hoppip,#0187,"Grass, Flying",35,35,40,35,55,50,250
187,Skiploom,#0188,"Grass, Flying",55,45,50,45,65,80,340
188,Jumpluff,#0189,"Grass, Flying",75,55,70,55,95,110,460
189,Aipom,#0190,Normal,55,70,55,40,55,85,360
190,Sunkern,#0191,Grass,30,30,30,30,30,30,180
191,Sunflora,#0192,Grass,75,75,55,105,85,30,425
192,Yanma,#0193,"Bug, Flying",65,65,45,75,45,95,390
193,Wooper,#0194,"Water, Ground",55,45,45,25,25,15,210
194,Quagsire,#0195,"Water, Ground",95,85,85,65,65,35,430
195,Espeon,#0196,Psychic,65,65,60,130,95,110,525
196,Umbreon,#0197,Dark,95,65,110,60,130,65,525
197,Murkrow,#0198,"Dark, Flying",60,85,42,85,42,91,405
198,Slowking,#0199,"Water, Psychic",95,75,80,100,110,30,490
199,Misdreavus,#0200,Ghost,60,60,60,85,85,85,435
200,Unown,#0201,Psychic,48,72,48,72,48,48,336
201,Wobbuffet,#0202,Psychic,190,33,58,33,58,33,405
202,Girafarig,#0203,"Normal, Psychic",70,80,65,90,65,85,455
203,Pineco,#0204,Bug,50,65,90,35,35,15,290
204,Forretress,#0205,"Bug, Steel",75,90,140,60,60,40,465
205,Dunsparce,#0206,Normal,100,70,70,65,65,45,415
206,Gligar,#0207,"Ground, Flying",65,75,105,35,65,85,430
207,Steelix,#0208,"Steel, Ground",75,85,200,55,65,30,510
208,Snubbull,#0209,Fairy,60,80,50,40,40,30,300
209,Granbull,#0210,Fairy,90,120,75,60,60,45,450
210,Qwilfish,#0211,"Water, Poison",65,95,85,55,55,85,440
211,Scizor,#0212,"Bug, Steel",70,130,100,55,80,65,500
212,Shuckle,#0213,"Bug, Rock",20,10,230,10,230,5,505
213,Heracross,#0214,"Bug, Fighting",80,125,75,40,95,85,500
214,Sneasel,#0215,"Dark, Ice",55,95,55,35,75,115,430
215,Teddiursa,#0216,Normal,60,80,50,50,50,40,330
216,Ursaring,#0217,Normal,90,130,75,75,75,55,500
